driver_id,driver_video_path,driver_video_randomname,target_id,target_image_path,split
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-01-01-01-01-01.mp4,cf670099-69f8-5f62-b8bd-d0c5499bcbab,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-02-01-01-02-01.mp4,383086ea-aa0e-576e-b30a-1e7462e35a4e,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-06-01-01-01-01.mp4,837bb61d-3ff9-5b0a-ace9-5d54571b7059,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-07-01-01-02-01.mp4,999c1e0d-e8c4-5e00-b799-c8d435c9c297,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-03-01-01-02-01.mp4,6c8c757f-21a1-591b-a434-89c0298c4db8,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-08-01-02-01-01.mp4,d98a954d-a8b7-57e0-8377-50c534b31740,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-05-02-01-02-01.mp4,2d1b8fb9-c2b8-5978-8491-1ed01124874f,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-07-02-01-01-01.mp4,79f21dcc-d779-5dfc-a025-72c1d8c1b952,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-03-01-01-01-01.mp4,91bfd582-9b32-5ad7-8b2c-ce25e6c322a5,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-08-02-01-02-01.mp4,e26f1645-f189-5232-aa2b-9ad69a2d53f3,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-07-01-02-01-01.mp4,84813e20-7b9e-50cb-8901-0117b6b9eb03,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-07-02-02-01-01.mp4,46a75525-dfc2-5173-94d6-2a9404e56d40,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-05-01-02-02-01.mp4,96479b4d-0207-5ebe-b58c-5ce2862701ce,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-01-01-02-02-01.mp4,0038ba6c-50bc-5b9d-97d0-2c5c9c3a0b74,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_01,RAVDESS/VIDEO-SPEECH/Actor_01/01-01-08-01-01-01-01.mp4,eadcd8d7-02d6-50e8-9748-d5de40c4b948,Actor_19,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_19.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-03-02-01-02-17.mp4,81beec98-e1da-5b74-8e50-49a97bb840a2,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-08-01-02-01-17.mp4,bbb773af-d4c8-50fc-8bee-ce4c8fbf8ba5,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-08-01-02-02-17.mp4,5157aa87-df14-5e84-9f7c-b1f31dbbb7a1,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-08-01-01-02-17.mp4,5f8052ce-4dff-5a33-b5ab-efe5b9ea662e,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-07-01-01-02-17.mp4,3a6ef372-2f64-533d-84a7-2d17d565d98c,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-08-02-02-01-17.mp4,eb979b6b-0059-573c-993e-d10026df5a0c,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-04-01-01-01-17.mp4,f449b892-c8ee-5e37-9bd9-c2c41ae9aa8b,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-05-01-02-02-17.mp4,785cc0c5-fc8b-5afa-bbfd-9a5e9f3548e0,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-01-01-01-02-17.mp4,ef732157-335f-57b4-a80b-afd377a40422,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-02-01-01-02-17.mp4,fc99375a-59d8-5d40-8041-e71a21b31e71,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-06-01-01-02-17.mp4,27398ed0-025a-5343-85f8-539f71a55ee6,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-07-02-01-02-17.mp4,52e73199-7dcc-54f0-a3a6-94139ef77c37,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
Actor_17,RAVDESS/VIDEO-SPEECH/Actor_17/01-01-07-02-02-01-17.mp4,97a2af09-a68d-5925-82a2-c76ee29ed449,Actor_02,AVAPrintDB_v0/database/generation/target_identities/ravdess_identities/Actor_02.png,TEST
